prompt_num,prompt,eesd_time_s,ar_time_s,acceptance_rate,tokens_accepted,tokens_total,speedup
67,भारतीय रिजर्व बैंक देश का केंद्रीय बैंक है।,8.08,3.33,0.565,100,177,0.41
68,शेयर बाजार अर्थव्यवस्था का एक महत्वपूर्ण हिस्सा है।,6.45,3.32,0.723,102,141,0.52
69,भारत में स्टार्टअप संस्कृति तेजी से विकसित हो रही है।,6.88,3.34,0.667,100,150,0.49
70,बेंगलुरु को भारत की सिलिकॉन वैली कहा जाता है।,6.17,3.36,0.748,101,135,0.54
71,हैदराबाद अपने बिरयानी और चारमीनार के लिए प्रसिद्ध है।,7.48,3.33,0.618,102,165,0.45
72,जयपुर को गुलाबी शहर के नाम से जाना जाता है।,7.09,3.34,0.654,102,156,0.47
73,उदयपुर को झीलों का शहर कहा जाता है।,7.35,3.33,0.617,100,162,0.45
74,अमृतसर का स्वर्ण मंदिर सिख धर्म का सबसे पवित्र स्थान है।,7.35,3.35,0.617,100,162,0.46
75,कोणार्क का सूर्य मंदिर ओडिशा में स्थित एक विश्व धरोहर स्थल है।,7.25,3.35,0.635,101,159,0.46
76,खजुराहो के मंदिर अपनी अद्वितीय वास्तुकला के लिए प्रसिद्ध हैं।,7.20,3.35,0.641,100,156,0.47
77,भारत में वन्यजीव संरक्षण के लिए कई राष्ट्रीय उद्यान हैं।,6.69,3.37,0.687,101,147,0.50
78,बाघ भारत का राष्ट्रीय पशु है और इसका संरक्षण आवश्यक है।,6.81,3.34,0.667,100,150,0.49
79,मोर भारत का राष्ट्रीय पक्षी है जो अपनी सुंदरता के लिए जाना जाता है।,6.15,3.32,0.741,100,135,0.54
80,कमल भारत का राष्ट्रीय फूल है।,6.17,3.32,0.748,101,135,0.54
81,आम को फलों का राजा कहा जाता है और यह भारत का राष्ट्रीय फल है।,7.40,3.35,0.630,102,162,0.45
82,बनारसी साड़ी अपनी बुनाई और डिजाइन के लिए विश्व प्रसिद्ध है।,7.62,3.38,0.607,102,168,0.44
83,चंडीगढ़ भारत का एक सुनियोजित शहर है।,8.03,3.40,0.576,102,177,0.42
84,पंजाब को भारत का अन्न भंडार कहा जाता है।,6.82,3.39,0.667,100,150,0.50
85,गुजरात अपने उद्योगों और व्यापार के लिए जाना जाता है।,7.03,3.33,0.660,101,153,0.47
86,महाराष्ट्र भारत का सबसे औद्योगिक राज्य है।,7.90,3.33,0.596,102,171,0.42
87,भारत में रामायण और महाभारत दो प्रमुख महाकाव्य हैं।,7.76,3.33,0.607,102,168,0.43
88,संस्कृत को सभी भाषाओं की जननी माना जाता है।,6.26,3.35,0.756,102,135,0.54
89,भारत में परिवार की संस्था को बहुत महत्व दिया जाता है।,7.72,3.36,0.595,100,168,0.44
90,विज्ञान और प्रौद्योगिकी के क्षेत्र में भारत ने बहुत प्रगति की है।,6.61,3.46,0.708,102,144,0.52
91,चंद्रयान मिशन ने भारत को अंतरिक्ष में नई ऊँचाइयों पर पहुँचाया।,7.08,3.41,0.641,100,156,0.48
92,भारत में जलवायु परिवर्तन के प्रभाव स्पष्ट रूप से दिखाई दे रहे हैं।,8.15,3.36,0.565,100,177,0.41
93,नवीकरणीय ऊर्जा स्रोतों का उपयोग बढ़ाना समय की माँग है।,7.19,3.33,0.641,100,156,0.46
94,भारत की विदेश नीति शांति और सहयोग पर आधारित है।,6.76,3.32,0.680,100,147,0.49
95,संयुक्त राष्ट्र में भारत की भूमिका लगातार बढ़ रही है।,7.22,3.34,0.647,101,156,0.46
96,भारत दुनिया की सबसे तेजी से बढ़ती अर्थव्यवस्थाओं में से एक है।,6.93,3.35,0.667,100,150,0.48
97,शिक्षा में तकनीक के उपयोग ने सीखने के तरीके को बदल दिया है।,7.37,3.44,0.623,101,162,0.47
98,भारत के युवा देश के भविष्य की सबसे बड़ी ताकत हैं।,7.66,3.42,0.607,102,168,0.45
99,खेलों में भारत का प्रदर्शन लगातार सुधर रहा है।,7.16,3.34,0.654,102,156,0.47
100,ओलंपिक में भारतीय खिलाड़ियों ने कई पदक जीते हैं।,7.68,3.35,0.606,100,165,0.44
101,भारत में सड़क और परिवहन व्यवस्था में बहुत सुधार हुआ है।,7.95,3.34,0.575,100,174,0.42
