prompt_num,prompt,eesd_time_s,ar_time_s,acceptance_rate,tokens_accepted,tokens_total,speedup
27,केरल को भगवान का अपना देश कहा जाता है।,12.7,4.57,0.526,101,192,0.36
28,गोवा अपने समुद्र तटों के लिए विश्व प्रसिद्ध है।,11.81,4.65,0.576,102,177,0.39
29,भारत में सूचना प्रौद्योगिकी क्षेत्र में क्रांति आई है।,11.12,4.63,0.606,100,165,0.42
30,आयुर्वेद भारत की प्राचीन चिकित्सा पद्धति है।,11.91,4.63,0.567,102,180,0.39
31,भारत के ग्रामीण क्षेत्रों में विकास तेजी से हो रहा है।,10.41,4.6,0.641,100,156,0.44
32,नदियों का जल प्रदूषण एक गंभीर समस्या बन चुका है।,13.86,4.66,0.476,100,210,0.34
33,भारत में जनसंख्या वृद्धि एक बड़ी चुनौती है।,10.94,4.72,0.606,100,165,0.43
34,सौर ऊर्जा भविष्य की ऊर्जा का प्रमुख स्रोत है।,11.91,4.57,0.561,101,180,0.38
35,भारतीय सेना विश्व की सबसे शक्तिशाली सेनाओं में से एक है।,11.74,4.63,0.575,100,174,0.39
36,पर्यावरण संरक्षण आज के समय की सबसे बड़ी आवश्यकता है।,10.98,4.6,0.612,101,165,0.42
37,भारत में डिजिटल भुगतान का चलन तेजी से बढ़ा है।,12.03,4.64,0.556,100,180,0.39
38,स्वच्छ भारत अभियान ने देश में स्वच्छता के प्रति जागरूकता बढ़ाई है।,11.56,4.62,0.585,100,171,0.4
39,भारत का संविधान सभी नागरिकों को समान अधिकार प्रदान करता है।,11.29,4.57,0.601,101,168,0.4
40,प्राचीन भारत में गणित और विज्ञान में महत्वपूर्ण खोजें हुई थीं।,12.71,4.77,0.538,100,186,0.37
41,शून्य की खोज भारत की दुनिया को सबसे बड़ी देन है।,10.88,4.66,0.618,102,165,0.43
42,भारत में महिला सशक्तिकरण के लिए कई योजनाएँ चलाई जा रही हैं।,13.19,4.6,0.523,102,195,0.35
43,बच्चों की शिक्षा किसी भी राष्ट्र के विकास की नींव है।,11.14,4.6,0.606,100,165,0.41
44,प्रदूषण से बचने के लिए हमें पेड़ लगाने चाहिए।,10.81,4.65,0.623,101,162,0.43
45,इंटरनेट ने दुनिया को एक गाँव में बदल दिया है।,11.62,4.66,0.575,100,174,0.4
46,कृत्रिम बुद्धिमत्ता भविष्य की तकनीक का आधार है।,12.15,4.58,0.552,101,183,0.38
47,मोबाइल फोन ने संचार के तरीके को पूरी तरह बदल दिया है।,11.78,4.65,0.586,102,174,0.39
48,किसान देश की अर्थव्यवस्था में महत्वपूर्ण भूमिका निभाते हैं।,11.58,4.8,0.585,100,171,0.41
49,स्वास्थ्य सबसे बड़ा धन है इसलिए इसकी रक्षा करनी चाहिए।,12.18,4.61,0.556,100,180,0.38
50,पुस्तकें ज्ञान का सबसे अच्छा स्रोत हैं।,10.65,4.58,0.635,101,159,0.43
51,हिंदी साहित्य में कई महान लेखकों ने योगदान दिया है।,13.03,4.64,0.513,100,195,0.36
52,प्रेमचंद हिंदी साहित्य के सबसे प्रसिद्ध लेखकों में से एक हैं।,11.47,4.66,0.591,101,171,0.41
53,भारतीय नृत्य कलाएँ अपनी विविधता के लिए जानी जाती हैं।,11.66,4.6,0.575,100,174,0.39
54,भरतनाट्यम दक्षिण भारत की प्रमुख शास्त्रीय नृत्य शैली है।,11.83,4.57,0.586,102,174,0.39
55,कथक उत्तर भारत की प्रसिद्ध शास्त्रीय नृत्य शैली है।,11.26,4.68,0.595,100,168,0.42
56,भारत में विभिन्न राज्यों की अपनी अलग संस्कृति और परंपरा है।,11.46,4.64,0.596,102,171,0.41
57,तमिलनाडु अपने मंदिरों और संस्कृति के लिए प्रसिद्ध है।,10.44,4.58,0.654,102,156,0.44
58,कश्मीर को धरती का स्वर्ग कहा जाता है।,11.45,4.63,0.575,100,174,0.4
59,लद्दाख की प्राकृतिक सुंदरता पर्यटकों को आकर्षित करती है।,10.84,4.62,0.63,102,162,0.43
60,असम अपनी चाय बागानों और प्राकृतिक सौंदर्य के लिए जाना जाता है।,12.2,4.61,0.556,100,180,0.38
61,बंगाल अपनी कला और साहित्य की परंपरा के लिए विख्यात है।,12.26,4.63,0.546,100,183,0.38
62,रवींद्रनाथ टैगोर ने भारत को नोबेल पुरस्कार दिलाया था।,11.55,4.67,0.585,100,171,0.4
63,भारत में चुनाव लोकतंत्र का सबसे बड़ा उत्सव है।,10.88,4.76,0.623,101,162,0.44
64,गणतंत्र दिवस हर साल छब्बीस जनवरी को मनाया जाता है।,12.16,4.72,0.557,102,183,0.39
65,स्वतंत्रता दिवस पंद्रह अगस्त को पूरे देश में मनाया जाता है।,10.92,4.65,0.623,101,162,0.43
66,भारतीय रुपया देश की आधिकारिक मुद्रा है।,9.99,4.6,0.667,100,150,0.46
67,भारतीय रिजर्व बैंक देश का केंद्रीय बैंक है।,11.21,4.71,0.606,100,165,0.42
68,शेयर बाजार अर्थव्यवस्था का एक महत्वपूर्ण हिस्सा है।,10.94,4.87,0.617,100,162,0.45
69,भारत में स्टार्टअप संस्कृति तेजी से विकसित हो रही है।,10.22,4.65,0.66,101,153,0.46
70,बेंगलुरु को भारत की सिलिकॉन वैली कहा जाता है।,11.05,4.63,0.606,100,165,0.42
71,हैदराबाद अपने बिरयानी और चारमीनार के लिए प्रसिद्ध है।,10.91,4.56,0.623,101,162,0.42
72,जयपुर को गुलाबी शहर के नाम से जाना जाता है।,11.34,4.65,0.596,102,171,0.41
73,उदयपुर को झीलों का शहर कहा जाता है।,12.05,4.67,0.552,101,183,0.39
74,अमृतसर का स्वर्ण मंदिर सिख धर्म का सबसे पवित्र स्थान है।,12.2,4.57,0.546,100,183,0.37
75,कोणार्क का सूर्य मंदिर ओडिशा में स्थित एक विश्व धरोहर स्थल है।,13.11,4.71,0.531,102,192,0.36
76,खजुराहो के मंदिर अपनी अद्वितीय वास्तुकला के लिए प्रसिद्ध हैं।,12.21,4.73,0.567,102,180,0.39
77,भारत में वन्यजीव संरक्षण के लिए कई राष्ट्रीय उद्यान हैं।,13.79,4.63,0.5,102,204,0.34
78,बाघ भारत का राष्ट्रीय पशु है और इसका संरक्षण आवश्यक है।,11.1,4.61,0.618,102,165,0.41
79,मोर भारत का राष्ट्रीय पक्षी है जो अपनी सुंदरता के लिए जाना जाता है।,11.38,4.65,0.606,100,165,0.41
80,कमल भारत का राष्ट्रीय फूल है।,9.89,4.69,0.667,100,150,0.47
81,आम को फलों का राजा कहा जाता है और यह भारत का राष्ट्रीय फल है।,11.61,4.65,0.591,101,171,0.4
82,बनारसी साड़ी अपनी बुनाई और डिजाइन के लिए विश्व प्रसिद्ध है।,10.54,4.66,0.667,102,153,0.44
83,चंडीगढ़ भारत का एक सुनियोजित शहर है।,11.3,4.63,0.591,101,171,0.41
84,पंजाब को भारत का अन्न भंडार कहा जाता है।,11.9,4.76,0.556,100,180,0.4
85,गुजरात अपने उद्योगों और व्यापार के लिए जाना जाता है।,11.92,4.65,0.565,100,177,0.39
86,महाराष्ट्र भारत का सबसे औद्योगिक राज्य है।,10.57,4.55,0.635,101,159,0.43
87,भारत में रामायण और महाभारत दो प्रमुख महाकाव्य हैं।,12.05,4.68,0.556,100,180,0.39
88,संस्कृत को सभी भाषाओं की जननी माना जाता है।,11.37,4.9,0.591,101,171,0.43
89,भारत में परिवार की संस्था को बहुत महत्व दिया जाता है।,11.05,4.59,0.606,100,165,0.42
90,विज्ञान और प्रौद्योगिकी के क्षेत्र में भारत ने बहुत प्रगति की है।,12.86,4.6,0.529,100,189,0.36
91,चंद्रयान मिशन ने भारत को अंतरिक्ष में नई ऊँचाइयों पर पहुँचाया।,11.28,4.62,0.606,100,165,0.41
92,भारत में जलवायु परिवर्तन के प्रभाव स्पष्ट रूप से दिखाई दे रहे हैं।,12.81,4.66,0.534,101,189,0.36
93,नवीकरणीय ऊर्जा स्रोतों का उपयोग बढ़ाना समय की माँग है।,10.86,4.62,0.617,100,162,0.43
94,भारत की विदेश नीति शांति और सहयोग पर आधारित है।,11.95,4.6,0.567,102,180,0.38
95,संयुक्त राष्ट्र में भारत की भूमिका लगातार बढ़ रही है।,10.01,4.61,0.673,101,150,0.46
96,भारत दुनिया की सबसे तेजी से बढ़ती अर्थव्यवस्थाओं में से एक है।,11.5,4.7,0.585,100,171,0.41
97,शिक्षा में तकनीक के उपयोग ने सीखने के तरीके को बदल दिया है।,11.35,4.59,0.607,102,168,0.4
98,भारत के युवा देश के भविष्य की सबसे बड़ी ताकत हैं।,12.98,4.56,0.513,100,195,0.35
99,खेलों में भारत का प्रदर्शन लगातार सुधर रहा है।,10.83,4.6,0.618,102,165,0.42
100,ओलंपिक में भारतीय खिलाड़ियों ने कई पदक जीते हैं।,10.7,4.63,0.617,100,162,0.43
101,भारत में सड़क और परिवहन व्यवस्था में बहुत सुधार हुआ है।,11.18,4.61,0.595,100,168,0.41
